gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
jgi|Aurli1|10580|gm1.10580_g	201.0491	0.09933437	0.09735305	0.172766	0.4218237
jgi|Aurli1|105818|estExt_Genewise1Plus.C_8_t20083	3144.778	0.02901644	0.1164213	0.6943159	0.848053
jgi|Aurli1|10586|gm1.10586_g	20.86716	-0.02539458	0.14415005	0.7161559	0.8614745
jgi|Aurli1|10590|gm1.10590_g	22.58547	-0.130799	0.22096775	0.1231952	0.3504339
jgi|Aurli1|105921|estExt_Genewise1Plus.C_9_t10019	1033.801	-0.09333825	0.09822154	0.2011604	0.4541962
jgi|Aurli1|105931|estExt_Genewise1Plus.C_9_t10029	116.9191	0.03590417	0.11918389	0.6269976	0.8111476
jgi|Aurli1|10594|gm1.10594_g	156.2759	-0.02866762	0.10406635	0.695741	0.8488901
jgi|Aurli1|10599|gm1.10599_g	3.47685	0.05514597	0.24453275	0.4156272	0.6635697
jgi|Aurli1|106013|estExt_Genewise1Plus.C_9_t10147	470.7117	0.1704605	0.07658343	0.008002308	0.07460098
jgi|Aurli1|10607|gm1.10607_g	395.992	0.1608567	0.13040765	0.04911111	0.2114893
jgi|Aurli1|10610|gm1.10610_g	500.6068	-0.1020858	0.13437672	0.1890823	0.4404606
jgi|Aurli1|10611|gm1.10611_g	2.044368	0.03335259	0.26690837	0.5731286	0.7763223
jgi|Aurli1|10613|gm1.10613_g	11.68278	-0.1799538	0.21330649	0.05340904	0.2217047
jgi|Aurli1|10618|gm1.10618_g	18.88737	-0.02083685	0.20145252	0.7464143	0.8764634
jgi|Aurli1|106183|estExt_Genewise1Plus.C_9_t10366	597.2863	-0.02215433	0.09255793	0.7544283	0.8822399
jgi|Aurli1|10620|gm1.10620_g	622.9067	-0.1537171	0.11251057	0.04863592	0.2104182
jgi|Aurli1|10623|gm1.10623_g	6.283831	-0.02260342	0.21229447	0.7241827	0.8646759
jgi|Aurli1|10624|gm1.10624_g	565.3149	-0.01172711	0.14881079	0.8636954	0.9367763
jgi|Aurli1|106243|estExt_Genewise1Plus.C_9_t10456	523.9522	0.03480032	0.12023818	0.6371606	0.81698
