gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
jgi|Aurli1|105729|estExt_Genewise1Plus.C_8_t10488	459.6482	0.0457215	0.09012361	0.6097254	0.6726716
jgi|Aurli1|10580|gm1.10580_g	201.0491	-1.688368	0.13915379	3.274064e-35	1.172811e-33
jgi|Aurli1|105818|estExt_Genewise1Plus.C_8_t20083	3144.778	4.15636	0.20322715	5.715685e-94	7.063634e-91
jgi|Aurli1|10586|gm1.10586_g	20.86716	0.1004204	0.3011159	0.7203364	0.7733317
jgi|Aurli1|10590|gm1.10590_g	22.58547	-3.572238	0.41622538	1.095612e-18	1.257579e-17
jgi|Aurli1|105921|estExt_Genewise1Plus.C_9_t10019	1033.801	0.05321316	0.1392053	0.698041	0.7529237
jgi|Aurli1|105931|estExt_Genewise1Plus.C_9_t10029	116.9191	-0.7286488	0.20736133	0.0002709546	0.0006294262
jgi|Aurli1|10594|gm1.10594_g	156.2759	0.2568538	0.16054394	0.1026693	0.143708
jgi|Aurli1|10599|gm1.10599_g	3.47685	0.01444562	0.60189271	0.9743336	0.9798838
jgi|Aurli1|106013|estExt_Genewise1Plus.C_9_t10147	470.7117	0.474559	0.09356157	3.27003e-07	1.150796e-06
jgi|Aurli1|10607|gm1.10607_g	395.992	-1.138208	0.18329915	1.456125e-10	7.568992e-10
jgi|Aurli1|10610|gm1.10610_g	500.6068	-4.570948	0.22576323	2.278754e-92	2.413852e-89
jgi|Aurli1|10611|gm1.10611_g	2.044368	-1.504717	1.15649536	0.02285551	0.0371612
